,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotArea_log,TotalBsmtSF_log,GrLivArea_log,1stFlrSF_log,2ndFlrSF_log
360,361,85,RL,73.0,7540,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,773,Unf,888,GasA,Ex,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1978.0,RFn,2,470,TA,TA,Y,0,0,0,0,1,0,None,MnPrv,None,0,6,2007,WD,Normal,156000,8.928110078202646,6.790097235513905,6.816735880594968,6.816735880594968,0.0
361,362,50,RL,52.0,9144,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,399,Unf,883,GasA,Gd,Y,SBrkr,988,517,1505,1,0,1,0,3,1,TA,8,Typ,0,None,Detchd,1940.0,Unf,1,240,TA,TA,N,0,0,0,0,0,0,None,None,None,0,7,2008,WD,Normal,145000,9.120962560824966,6.784457062637643,7.317212408359839,6.8966943316227125,6.249975242259483
362,363,85,RL,64.0,7301,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,TA,TA,No,None,0,Unf,0,GasA,Ex,Y,SBrkr,495,1427,1922,0,0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003.0,RFn,2,672,TA,TA,Y,0,0,177,0,0,0,None,None,None,0,7,2009,ConLD,Normal,198500,8.895903562215581,0.0,7.56164174558878,6.206575926724928,7.2640301428995295
363,364,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,510.0,TA,TA,CBlock,TA,TA,No,ALQ,162,Unf,483,GasA,Gd,Y,SBrkr,483,504,987,0,0,1,1,2,1,Gd,5,Typ,0,None,Detchd,1972.0,Unf,1,264,TA,TA,Y,250,0,0,0,0,0,None,None,None,0,5,2009,WD,Normal,118000,7.427144133408616,6.182084906716632,6.895682697747868,6.182084906716632,6.22455842927536
364,365,60,RL,80.0,18800,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,PConc,Gd,TA,Mn,GLQ,712,Unf,796,GasA,TA,Y,SBrkr,790,784,1574,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Fin,2,566,TA,TA,Y,306,111,0,0,0,0,None,None,None,0,7,2006,WD,Normal,190000,9.841665338892785,6.680854678790215,7.362010551259734,6.673297967767654,6.665683717782408
365,366,70,RM,59.0,10690,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,7,1920,1997,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Fa,No,Rec,456,Unf,672,GasA,Gd,Y,FuseA,672,672,1344,0,0,1,0,3,1,TA,6,Typ,0,None,Detchd,1964.0,Unf,1,468,TA,Fa,Y,0,128,218,0,0,0,None,None,None,0,7,2009,WD,Normal,147000,9.2771575450135,6.511745329644728,7.20414929203594,6.511745329644728,6.511745329644728
366,367,20,RL,73.0,9500,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609,Unf,1394,GasA,Gd,Y,SBrkr,1394,0,1394,1,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2,514,TA,TA,Y,0,76,0,0,1,0,None,None,None,0,7,2009,WD,Normal,159000,9.15915233520675,7.240649694255466,7.240649694255466,7.240649694255466,0.0
368,369,20,RL,78.0,7800,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,TA,TA,PConc,TA,TA,No,LwQ,540,Unf,1268,GasA,Gd,Y,SBrkr,1268,0,1268,0,0,1,0,2,1,TA,7,Typ,1,Gd,Attchd,1954.0,Fin,1,244,TA,TA,Y,0,98,0,0,0,0,None,None,None,0,3,2010,WD,Normal,132000,8.962007209588313,7.1459844677143876,7.1459844677143876,7.1459844677143876,0.0
369,370,20,RL,73.0,9830,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,72,Rec,1063,GasA,Ex,Y,SBrkr,1287,0,1287,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1997.0,Fin,2,576,TA,TA,Y,364,17,0,0,1,0,None,None,None,0,3,2010,WD,Normal,162000,9.193295937366925,6.96979066990159,7.160845906664299,7.160845906664299,0.0
370,371,60,RL,65.0,8121,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,953,GasA,Ex,Y,SBrkr,953,711,1664,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,RFn,2,460,TA,TA,Y,100,40,0,0,0,0,None,None,None,0,1,2006,WD,Normal,172400,9.002331708246244,6.860663671448287,7.417580402414544,6.860663671448287,6.568077911411976
371,372,50,RL,80.0,17120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,None,0,Unf,0,GasA,TA,Y,SBrkr,1120,468,1588,0,0,2,0,4,1,TA,7,Min2,1,Gd,Detchd,1991.0,Fin,2,680,TA,TA,N,0,59,0,0,0,0,None,None,None,0,7,2008,WD,Normal,134432,9.748061059204817,0.0,7.370860166536716,7.02197642307216,6.150602768446279
372,373,120,RL,50.0,7175,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,623,LwQ,744,GasA,TA,Y,SBrkr,752,0,752,1,0,1,0,2,1,TA,4,Typ,0,None,Attchd,1984.0,Unf,1,264,TA,TA,Y,353,0,0,0,1,0,None,MnPrv,None,0,2,2010,WD,Normal,125000,8.878497403738631,6.61338421837956,6.6240652277998935,6.6240652277998935,0.0
373,374,20,RL,79.0,10634,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,428,LwQ,608,GasA,TA,Y,SBrkr,1319,0,1319,1,0,1,0,3,1,TA,5,Min2,0,None,Attchd,1953.0,Unf,1,270,TA,TA,Y,66,0,0,0,0,0,None,GdWo,None,0,11,2009,WD,Normal,123000,9.271905727634337,6.411818267709897,7.1853870155804165,7.1853870155804165,0.0
374,375,60,RL,65.0,8200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,847,GasA,Ex,Y,SBrkr,847,1081,1928,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2003.0,Fin,2,434,TA,TA,Y,100,48,0,0,0,0,None,None,None,0,7,2007,WD,Normal,219500,9.012011377036412,6.742880635791903,7.564757012905729,6.742880635791903,6.9865664594064265
375,376,30,RL,65.5,10020,Pave,None,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,Unf,683,GasA,Gd,N,FuseA,904,0,904,1,0,0,1,1,1,Fa,4,Maj1,0,None,Detchd,1922.0,Unf,0,0,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,3,2009,WD,Normal,61000,9.212438170058329,6.52795791762255,6.807934943699926,6.807934943699926,0.0
376,377,85,RL,57.0,8846,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,298,Unf,870,GasA,Ex,Y,SBrkr,914,0,914,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,1998.0,Unf,2,576,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,7,2006,WD,Normal,148000,9.087833697483386,6.769641976852503,6.818924065275521,6.818924065275521,0.0
377,378,60,FV,102.0,11143,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1580,GasA,Ex,Y,SBrkr,1580,886,2466,0,0,3,0,4,1,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2,610,TA,TA,Y,159,214,0,0,0,0,None,None,None,0,12,2007,WD,Normal,340000,9.318656515459642,7.365812837209472,7.810758116529357,7.365812837209472,6.787844982309579
378,379,20,RL,88.0,11394,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,1856,GasA,Ex,Y,SBrkr,1856,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3,834,TA,TA,Y,113,0,0,0,0,0,None,None,None,0,6,2010,New,Partial,394432,9.340929941679784,7.526717561352706,7.526717561352706,7.526717561352706,0.0
379,380,60,RL,60.0,8123,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,982,GasA,Ex,Y,SBrkr,1007,793,1800,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,Fin,2,463,TA,TA,Y,100,63,0,0,0,0,None,None,None,0,6,2009,WD,Normal,179000,9.002577922700276,6.890609120147166,7.496097345175956,6.915723448631314,6.677083461247136
380,381,50,RL,50.0,5000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,218,Unf,1026,GasA,TA,Y,SBrkr,1026,665,1691,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Detchd,1924.0,Unf,1,308,TA,TA,Y,0,0,242,0,0,0,None,None,None,0,5,2010,WD,Normal,127000,8.517393171418904,6.934397209928558,7.433666540166168,6.934397209928558,6.501289670540389
381,382,20,FV,60.0,7200,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Gd,No,Unf,0,Unf,1293,GasA,Ex,Y,SBrkr,1301,0,1301,1,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2006.0,RFn,2,572,TA,TA,Y,216,121,0,0,0,0,None,None,None,0,8,2006,New,Partial,187750,8.881975184248867,7.165493475060845,7.171656822768514,7.171656822768514,0.0
382,383,60,RL,79.0,9245,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,939,GasA,Ex,Y,SBrkr,939,858,1797,0,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,2006.0,RFn,2,639,TA,TA,Y,144,53,0,0,0,0,None,None,None,0,4,2007,WD,Normal,213500,9.13194630454817,6.84587987526405,7.494430215031565,6.84587987526405,6.755768921984255
383,384,45,RH,60.0,9000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,784,GasA,TA,N,FuseA,784,0,784,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,1950.0,Unf,2,360,Fa,Fa,N,0,0,91,0,0,0,None,None,None,0,10,2009,WD,Normal,76000,9.105090961257085,6.665683717782408,6.665683717782408,6.665683717782408,0.0
384,385,60,RL,80.0,53107,Pave,None,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,985,Unf,1580,GasA,Ex,Y,SBrkr,1079,874,1953,1,0,2,1,3,1,Gd,9,Typ,2,Fa,Attchd,1992.0,Fin,2,501,TA,TA,Y,216,231,0,0,0,0,None,None,None,0,6,2007,WD,Normal,240000,10.880082855015793,7.365812837209472,7.577633832602728,6.984716320118266,6.774223886357614
385,386,120,RL,43.0,3182,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,24,Unf,1256,GasA,Ex,Y,SBrkr,1269,0,1269,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2,430,TA,TA,Y,146,20,0,0,1,0,None,None,None,0,4,2010,WD,Normal,192000,8.065579427282092,7.136483208590247,7.146772179452637,7.146772179452637,0.0
386,387,50,RL,58.0,8410,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,None,0.0,TA,Fa,PConc,TA,TA,No,Unf,0,Unf,658,GasA,TA,Y,SBrkr,658,526,1184,0,0,1,0,5,1,TA,8,Typ,0,None,Detchd,1910.0,Unf,0,0,TA,TA,N,0,151,0,0,0,0,None,None,None,0,5,2006,WD,AdjLand,81000,9.037295651962438,6.490723534502507,7.077498053569231,6.490723534502507,6.267200548541362
387,388,80,RL,72.0,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,BrkFace,255.0,TA,TA,CBlock,TA,TA,Av,ALQ,631,Unf,1041,GasA,Ex,Y,SBrkr,1125,0,1125,1,0,1,0,3,1,TA,6,Typ,1,Fa,Detchd,1977.0,Unf,1,352,TA,TA,Y,296,0,0,0,0,0,None,GdWo,None,0,10,2009,WD,Abnorml,125000,8.881975184248867,6.948897222313312,7.026426808699636,7.026426808699636,0.0
388,389,20,RL,93.0,9382,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,125.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1468,GasA,Ex,Y,SBrkr,1479,0,1479,0,0,2,0,3,1,Gd,6,Typ,0,None,Attchd,1999.0,RFn,2,577,TA,TA,Y,120,25,0,0,0,0,None,None,None,0,7,2008,WD,Normal,191000,9.146654820290049,7.292337176173877,7.299797366758161,7.299797366758161,0.0
389,390,60,RL,96.0,12474,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,10,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,272.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1280,Unf,1682,GasA,Ex,Y,SBrkr,1742,590,2332,1,0,2,1,3,1,Ex,9,Typ,1,Ex,BuiltIn,2008.0,Fin,3,846,TA,TA,Y,196,134,0,0,0,0,None,None,None,0,8,2008,New,Partial,426000,9.431481920619719,7.428333194190806,7.75491027202143,7.463363045520021,6.3818160174060985
390,391,50,RL,50.0,8405,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Gd,No,Rec,241,BLQ,861,GasA,Ex,Y,SBrkr,961,406,1367,1,0,1,0,4,1,TA,7,Typ,0,None,Detchd,1978.0,Unf,1,384,TA,TA,Y,0,130,112,0,0,0,None,MnPrv,None,0,4,2008,WD,Normal,119000,9.036701015565063,6.759255270663693,7.221105098182496,6.8690144506657065,6.008813185442595
391,392,60,RL,71.0,12209,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,No,ALQ,690,Unf,804,GasA,Ex,Y,SBrkr,804,1157,1961,1,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2,560,TA,TA,Y,125,192,0,0,0,0,None,None,None,0,6,2009,WD,Normal,215000,9.41001056710475,6.690842277418564,7.581719640125308,6.690842277418564,7.05444965813294
392,393,20,RL,73.0,8339,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,TA,TA,No,None,0,Unf,0,GasA,TA,Y,SBrkr,882,0,882,0,0,1,0,3,1,TA,5,Typ,0,None,Attchd,1959.0,RFn,1,294,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,Shed,1,7,2007,WD,Normal,106500,9.028818495352793,0.0,6.78332520060396,6.78332520060396,0.0
393,394,30,RL,52.0,7446,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,266,Unf,788,GasA,TA,Y,FuseA,788,0,788,0,0,1,0,2,1,TA,4,Typ,2,TA,Detchd,1941.0,Unf,0,0,TA,TA,Y,0,0,0,0,0,0,None,GdWo,None,0,4,2006,WD,Abnorml,100000,8.915566545710645,6.670766320845874,6.670766320845874,6.670766320845874,0.0
394,395,50,RL,60.0,10134,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,735,GasA,Gd,Y,FuseA,735,299,1034,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,1940.0,Unf,1,240,TA,TA,Y,0,39,0,0,0,0,None,None,None,0,7,2007,WD,Normal,109000,9.2237500588861,6.601230118728877,6.942156705699469,6.601230118728877,5.703782474656201
395,396,20,RL,68.0,9571,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,739,Unf,1144,GasA,TA,Y,SBrkr,1144,0,1144,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,1956.0,Unf,1,596,TA,TA,Y,44,0,0,0,0,0,None,None,None,0,6,2010,WD,Normal,129000,9.166597449028265,7.0431599159883405,7.0431599159883405,7.0431599159883405,0.0
396,397,20,RL,60.0,7200,Pave,None,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,Rec,777,Unf,894,GasA,TA,Y,SBrkr,894,0,894,0,0,1,0,2,1,TA,6,Typ,0,None,Detchd,1985.0,RFn,2,600,TA,TA,Y,215,0,0,0,0,0,None,None,None,0,9,2009,WD,Normal,123000,8.881975184248867,6.796823718274855,6.796823718274855,6.796823718274855,0.0
397,398,60,RL,69.0,7590,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,BrkFace,288.0,TA,TA,CBlock,TA,TA,No,ALQ,540,Unf,864,GasA,TA,Y,SBrkr,876,936,1812,0,0,2,0,4,1,TA,8,Typ,1,TA,Attchd,1962.0,RFn,1,264,TA,TA,Y,0,168,0,0,0,0,None,None,None,0,7,2007,WD,Normal,169500,8.934718614016768,6.762729506931879,7.502738210754851,6.776506992372183,6.842683282238422
398,399,30,RM,60.0,8967,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Fa,Po,No,Unf,0,Unf,961,GasA,Gd,Y,Mix,1077,0,1077,0,0,1,0,2,1,TA,6,Maj2,0,None,Detchd,1920.0,Unf,1,338,Po,Po,N,0,0,0,0,0,0,None,None,None,0,11,2007,WD,Abnorml,67000,9.101417964751995,6.8690144506657065,6.982862751468942,6.982862751468942,0.0
399,400,60,FV,65.0,8125,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,TA,No,GLQ,812,Unf,1092,GasA,Ex,Y,SBrkr,1112,438,1550,1,0,2,0,2,1,Gd,7,Typ,0,None,Attchd,2007.0,Fin,2,438,TA,TA,Y,0,168,0,0,0,0,None,None,None,0,10,2009,WD,Normal,241000,9.002824076547672,6.996681488176539,7.346655163176539,7.014814351275545,6.0844994130751715
400,401,120,RL,38.0,14963,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,786,Unf,1260,GasA,Ex,Y,SBrkr,1288,0,1288,1,0,1,1,1,1,Ex,4,Typ,2,Gd,Attchd,1996.0,Fin,2,500,TA,TA,Y,120,30,0,0,1,0,None,None,None,0,12,2008,WD,Normal,245500,9.613402595468036,7.13966033596492,7.161622002939187,7.161622002939187,0.0
401,402,20,RL,65.0,8767,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,1310,GasA,Ex,Y,SBrkr,1310,0,1310,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2,400,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,7,2006,New,Partial,164990,9.078864009187797,7.1785454837637,7.1785454837637,7.1785454837637,0.0
402,403,30,RL,60.0,10200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,672,GasA,Ex,Y,SBrkr,672,0,672,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1940.0,Unf,1,240,TA,TA,N,168,0,0,0,0,0,None,GdPrv,None,0,8,2008,WD,Normal,108000,9.23024103368252,6.511745329644728,6.511745329644728,6.511745329644728,0.0
403,404,60,RL,93.0,12090,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,650.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1141,GasA,Gd,Y,SBrkr,1165,1098,2263,0,0,2,1,4,1,Gd,10,Typ,1,TA,BuiltIn,1998.0,Fin,2,420,TA,TA,Y,144,123,0,0,0,0,None,None,None,0,7,2006,WD,Abnorml,258000,9.400216653174247,7.040536390215956,7.724888439323074,7.061334366910438,7.002155954403621
404,405,60,RL,65.0,10364,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,806,GasA,Gd,Y,SBrkr,806,766,1572,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995.0,Fin,2,373,TA,TA,Y,0,40,0,0,0,0,None,None,None,0,5,2007,WD,Normal,168000,9.24619002486988,6.693323668269949,7.360739903058278,6.693323668269949,6.642486801367256
405,406,20,RL,71.0,9991,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,1116,Unf,1281,GasA,Ex,Y,SBrkr,1620,0,1620,1,0,2,0,3,1,TA,8,Min1,1,TA,Attchd,1993.0,Unf,2,490,TA,TA,Y,120,78,0,0,0,0,None,GdWo,None,0,6,2009,WD,Normal,150000,9.209540051805414,7.156176637480615,7.390798521735676,7.390798521735676,0.0
406,407,50,RL,51.0,10480,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,1064,GasA,Ex,Y,FuseA,1166,0,1639,0,0,1,0,3,1,TA,6,Maj2,0,None,Detchd,1936.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,3,2008,WD,Normal,115000,9.257319373170178,6.970730078143525,7.402451520818244,7.062191632286556,0.0
